,channelId,channelTitle,video_id,title,thumbnail_url,tags,view_count,like_count,comment_count,duration
7328,UCjGVPGkLwMdu8LuR637tcNA,Spice Eats,o6RkTeupB_0,LACHA CHICKEN PAKORA | CHICKEN PAKORA RECIPE | CHICKEN LACHA PAKORA,https://i.ytimg.com/vi/o6RkTeupB_0/mqdefault.jpg,"['lacha chicken pakora', 'pakora recipe', 'chicken lacha pakora', 'lacha pakora recipe', 'chicken pakora', 'chicken pakora recipe', 'aloo chciken pakora', 'iftar recipes', 'lacha chicken pakora recipe', 'chicken lacha pakora recipe', 'pakoda recipe', 'chicken pakoda', 'how to make chicken pakora', 'iftar snacks', 'iftar ideas for ramadan', 'iftar recipes easy and quick', 'lacha pakora', 'ramzan special recipes 2022', 'spice eats', 'spice eats recipes', 'spice eats recipes chicken', 'iftar ideas']",72968,1906,117,PT4M15S
0,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,KfUExOXxU5Q,Kutty Pattas Music Video | Ashwin | Reba John | Venki | Santhosh Dhayanidhi | Sandy,https://i.ytimg.com/vi/KfUExOXxU5Q/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Kutty Pattas', 'cook with comali 2', 'cook with comali promo', 'pugazh comedy', 'sivangi', 'Ashwin Kumar', 'sivanghi and Ashwin', 'kutty pattas song', 'cook with comali 2 promo this week', 'shivangi ashwin', 'tamil pop songs', 'pop video', 'munumunukkura muthamma']",193263762,1841353,53158,PT4M3S
1,UCTNtRdBAiZtHP9w7JinzfUg,SonyMusicSouthVEVO,iobiaJVp2Lg,"Kattappava Kanom - Hey Penne Tamil Video | Sibirajm, Aishwarya Rajesh",https://i.ytimg.com/vi/iobiaJVp2Lg/mqdefault.jpg,"['Kattappava Kanom Hey Penne Video', 'Kattappava Kanom', 'Kattappava Kanom Official Songs', 'Kattappava Kanom Official Videos', 'Kattappava Kanom Official HD Songs', 'Kattappava Kanom Official HD Videos', 'Kattappava Kanom Official Trailer', 'Kattappava Kanom Official Teaser', 'Kattappava Kanom Official Full HD Songs', 'Kattappava Kanom Official Full HD Videos', 'Kattappava Kanom Official 1920 1080 Videos', 'Kattappava Kanom Official Movie Songs HD', 'Kattappava']",1129754,18664,221,PT2M32S
2,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,rnyp6sXvIfk,"Partner - Raati Video | Aadhi Pinisetty, Hansika Motwani Pallak Lalwani l Santhosh Dhayanidhi",https://i.ytimg.com/vi/rnyp6sXvIfk/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",1042293,11984,130,PT4M31S
3,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,8Nk8LkFqhWA,Naan Thoda -  Tamil Album Song | Hebah Patel | Santhosh Dhayanidhi | Bobby Antony,https://i.ytimg.com/vi/8Nk8LkFqhWA/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'NAAN THODA', 'tamil pop songs', 'Madras gig songs', 'tamil pop 2021', 'orasadha song', 'kutty pattas', 'Santhosh Dhayanidhi', 'raati', 'shakthi sree songs', 'naan thoda song']",1312497,3191,106,PT4M2S
4,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,zz2Bj9k02NM,Rowdy Pattasu Music Video | Ashwin | Reba John | Venki | Santhosh Dhayanidhi | Sandy,https://i.ytimg.com/vi/zz2Bj9k02NM/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Latest songs in Tamil', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs', 'Rowdy Pattasu', 'telugu pop songs', 'telugu pop', 'rowdy', 'pattasu', 'Ashwin', 'Reba John', 'Santhosh Dhayanidhi']",591646,24633,680,PT4M3S
5,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,h9DKilyRDsA,Thumbaa - Pudhusaatam Video | Anirudh Ravichander | Harish Ram LH,https://i.ytimg.com/vi/h9DKilyRDsA/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Tamil Songs', 'Tamil Trailers', 'Tamil Song Videos', 'Tamil HD Videos', '2018 Tamil Songs', 'Thumbaa', 'Thumbaa teaser', 'Thumba', 'tiger movie tamil', 'tiger animal movie', 'tiger animation movie', 'Anirudh Ravichander', 'Vivek - Mervin', 'Santosh Dhayanidhi', 'anirudh', 'anirudh songs', 'orasaadha song', 'raati', 'Pudhusaatam', 'Pudhusaatam song', 'tiger song', 'thumbaa songs']",517981,9643,221,PT4M28S
6,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,jcFVfw5e93Y,Thumbaa - Humpty Dumpty Video | Sivakarthikeyan | Darshan | Santhosh Dhayanidhi,https://i.ytimg.com/vi/jcFVfw5e93Y/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Tamil Songs', 'Tamil Trailers', 'Tamil Song Videos', 'Tamil HD Videos', '2018 Tamil Songs', 'Thumbaa', 'Thumbaa teaser', 'Thumba', 'tiger movie tamil', 'tiger animal movie', 'tiger animation movie', 'Vivek - Mervin', 'Santosh Dhayanidhi', 'anirudh', 'orasaadha song', 'raati', 'Pudhusaatam', 'Pudhusaatam song', 'tiger song', 'thumbaa songs', 'Humpty Dumpty', 'Humpty Dumpty song', 'sivakarthkeyan song', 'kids songs', 'kids rhymes', 'kids poem', 'kids cartoon', 'cartoon', 'cartoon video']",1495380,10984,420,PT3M2S
56,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,YuWRX-vOJR8,Feel My Love (LoFi Flip) Video | Aarya (Malayalam) | Devi Sri Prasad | Allu Arjun | Chris Wayne,https://i.ytimg.com/vi/YuWRX-vOJR8/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2023', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2023', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",12674,503,21,PT2M34S
57,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,je41L1oszPk,Nenjukkul Peidhidum LoFi Flip | Harris Jayaraj | Nakul Abhyankar,https://i.ytimg.com/vi/je41L1oszPk/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",445257,20164,699,PT3M53S
58,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,ed6VxAKX0Dg,Vinnaithaandi Varuvaayaa - Mannipaaya Lofi Flip | A.R. Rahman | STR | Trisha,https://i.ytimg.com/vi/ed6VxAKX0Dg/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",335075,19766,337,PT3M23S
59,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,qSmLQPsiCGM,Vaarayo Vaarayo Lofi Flip | Harris Jayaraj | Suriya | Nayanthara,https://i.ytimg.com/vi/qSmLQPsiCGM/mqdefault.jpg,"['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2020', 'Tamil Latest Songs 2021', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'Tamil Movie Songs', 'Latest Video Songs Tamil', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Telugu Songs 2021', 'New Tamil Songs', 'Songs in Telugu', 'Telugu Movie Songs', 'Video Songs Telugu', 'new Telugu Songs']",57032,2671,93,PT2M31S
